edgeid,source,target,date,value,type
427,713,103.0,2020/11/1,1.0,Directed
428,713,133.0,2020/11/1,1.0,Directed
429,718,356.0,2020/11/1,1.0,Directed
430,90,232.0,2020/11/1,1.0,Directed
431,141,707.0,2020/11/1,1.0,Directed
432,282,356.0,2020/11/1,1.0,Directed
433,282,32.0,2020/11/1,1.0,Directed
434,282,133.0,2020/11/1,1.0,Directed
435,282,707.0,2020/11/1,1.0,Directed
436,315,232.0,2020/11/1,1.0,Directed
437,315,335.0,2020/11/1,1.0,Directed
438,315,32.0,2020/11/1,1.0,Directed
439,381,535.0,2020/11/1,1.0,Directed
440,435,335.0,2020/11/1,1.0,Directed
441,435,103.0,2020/11/1,1.0,Directed
442,461,466.0,2020/11/1,1.0,Directed
443,466,37.0,2020/11/1,1.0,Directed
444,1131,707.0,2020/11/1,1.0,Directed
445,522,707.0,2020/11/1,1.0,Directed
446,381,535.0,2020/11/1,1.0,Directed
447,405,535.0,2020/11/1,1.0,Directed
448,668,126.0,2020/11/1,1.0,Directed
449,668,381.0,2020/11/1,1.0,Directed
450,668,620.0,2020/11/1,1.0,Directed
451,668,707.0,2020/11/1,1.0,Directed
452,9,708.0,2020/11/4,1.0,Directed
453,282,708.0,2020/11/4,1.0,Directed
454,461,708.0,2020/11/4,1.0,Directed
455,481,708.0,2020/11/4,1.0,Directed
456,1128,708.0,2020/11/4,1.0,Directed
457,1130,708.0,2020/11/4,1.0,Directed
458,1131,708.0,2020/11/4,1.0,Directed
459,554,708.0,2020/11/4,1.0,Directed
460,668,708.0,2020/11/4,1.0,Directed
461,94,709.0,2020/11/7,1.0,Directed
462,282,709.0,2020/11/7,1.0,Directed
463,1131,709.0,2020/11/7,1.0,Directed
464,668,709.0,2020/11/7,1.0,Directed
465,1127,11.0,2020/11/17,1.0,Directed
466,243,710.0,2020/11/21,1.0,Directed
467,461,710.0,2020/11/21,1.0,Directed
468,1129,710.0,2020/11/21,1.0,Directed
469,1131,710.0,2020/11/21,1.0,Directed
470,711,559.0,2020/11/22,1.0,Directed
471,281,711.0,2020/11/22,1.0,Directed
472,282,711.0,2020/11/22,1.0,Directed
473,461,711.0,2020/11/22,1.0,Directed
474,1131,711.0,2020/11/22,1.0,Directed
475,712,126.0,2020/11/23,1.0,Directed
476,100,126.0,2020/11/23,1.0,Directed
477,232,712.0,2020/11/23,1.0,Directed
478,315,712.0,2020/11/23,1.0,Directed
479,369,712.0,2020/11/23,1.0,Directed
480,412,712.0,2020/11/23,1.0,Directed
481,461,712.0,2020/11/23,1.0,Directed
482,1128,712.0,2020/11/23,1.0,Directed
483,1131,712.0,2020/11/23,1.0,Directed
484,243,713.0,2020/11/24,1.0,Directed
485,297,713.0,2020/11/24,1.0,Directed
486,315,713.0,2020/11/24,1.0,Directed
487,435,713.0,2020/11/24,1.0,Directed
488,461,713.0,2020/11/24,1.0,Directed
489,1128,713.0,2020/11/24,1.0,Directed
490,1129,713.0,2020/11/24,1.0,Directed
491,1131,713.0,2020/11/24,1.0,Directed
492,668,713.0,2020/11/24,1.0,Directed
493,676,713.0,2020/11/24,1.0,Directed
494,37,715.0,2020/11/29,1.0,Directed
495,159,714.0,2020/11/29,1.0,Directed
496,282,714.0,2020/11/29,1.0,Directed
497,282,715.0,2020/11/29,1.0,Directed
498,348,715.0,2020/11/29,1.0,Directed
499,461,714.0,2020/11/29,1.0,Directed
500,461,715.0,2020/11/29,1.0,Directed
501,1131,714.0,2020/11/29,1.0,Directed
502,1131,715.0,2020/11/29,1.0,Directed
503,716,611.0,2020/12/1,1.0,Directed
504,611,143.0,2020/12/1,1.0,Directed
505,166,285.0,2020/12/1,1.0,Directed
506,219,639.0,2020/12/1,1.0,Directed
507,244,74.0,2020/12/1,1.0,Directed
